REF_DATE,GEO,GEO_CODE,DWELLING_TYPE,INTENDED_MARKET,HOUSING_STARTS,AVERAGE_PRICE_CAD,DATA_SOURCE,REPORTING_AGENCY,LAST_UPDATED,SURVEY_METHOD,GEOGRAPHY_TYPE,UOM,SCALAR_FACTOR,STATUS,DECIMALS,_record_id,_rule_id,_rule_name,_dimension,_cde,_severity,_failure_reason,_remediation,_flagged_at
2018-01,Quebec,QC,Semi-Detached,Condominium,,378967.73,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-01-15,Modelled Estimate,Province/Territory,Units,units,,0,51,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-01,Prince Edward Island,PE,Row House,Condominium,,379415.86,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-01-15,Direct Survey,Province/Territory,Units,units,E,0,144,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-03,Alberta,AB,Apartment - 5+ storeys,Rental,,393547.41,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-03-15,Modelled Estimate,Province/Territory,Units,units,,0,341,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-03,Alberta,AB,Apartment - Under 5 storeys,Rental,,431258.96,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-03-15,Administrative Data,Province/Territory,Units,units,,0,344,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-03,Nova Scotia,NS,Single-Detached,Homeowner,,283232.78,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-03-15,Direct Survey,Province/Territory,Units,units,,0,391,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-04,Quebec,QC,Single-Detached,Condominium,,385944.99,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-04-15,Direct Survey,Province/Territory,Units,units,E,0,498,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-04,Saskatchewan,SK,Apartment - Under 5 storeys,Rental,,328594.24,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-04-15,Modelled Estimate,Province/Territory,Units,units,,0,539,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-05,Ontario,ON,Row House,Condominium,,763949.71,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-05-15,Direct Survey,Province/Territory,Units,units,F,0,609,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-05,Alberta,AB,Apartment - 5+ storeys,Condominium,,497835.12,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-05-15,Administrative Data,Province/Territory,Units,units,E,0,642,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
2018-05,Quebec,QC,Semi-Detached,Condominium,,449602.12,CMHC Housing Market Survey,Canada Mortgage and Housing Corporation,2018-05-15,Administrative Data,Province/Territory,Units,units,F,0,651,DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,High,HOUSING_STARTS must not be NULL.,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'.",2026-04-08 23:46
